address,pointer
0x000000FC,08060fad
0x0000041D,08228220
0x000005CA,0820e583
0x0000073B,08060a00
0x0000076B,08140a00
0x00000916,08000000
0x00000961,08041e10
0x0000099B,080c0602
0x000009D0,08060605
0x000009ED,08060401
0x000009EE,08080604
0x00000A0F,080a0603
0x00000A69,08060101
0x00000A96,08010100
0x00000A97,08080101
0x00000ADF,08020100
0x00000B20,08020100
0x00000B63,08060605
0x00000B85,08060605
0x00000BAF,080a1304
0x00000BD0,08020100
0x00000BD1,08080201
0x00000C37,08060100
0x00000C68,08004881
0x00000C6F,08060100
0x00000CA8,08090601
0x00000CCB,08090601
0x00000D2D,08060100
0x00000DA1,08060100
0x00000EF3,08060100
0x00000F5F,08060100
0x00000FCB,08060100
0x00001037,08060100
0x0000106B,08060100
0x000012FE,08070101
0x0000132A,08060101
0x00001395,08050101
0x000013C7,08060101
0x0000142B,08010100
0x0000149F,080a030a
0x000014B5,08000048
0x000014BF,08050101
0x000014C1,080a0805
0x000014C6,08010102
0x0000152D,08060101
0x0000152E,08080601
0x0000152F,08080806
0x00001534,08020102
0x000015C7,08020100
0x000015F7,08000048
0x0000162C,08004881
0x0000167C,08020205
0x000016AC,08020205
0x000016F1,08020100
0x000017B2,08000048
0x000017C5,08101e04
0x00001A02,08070101
0x00001B1B,08070b02
0x00001B1D,080a0807
0x00001B82,080b0201
0x00001B84,0808080b
0x00001B85,08080808
0x00001C21,08010004
0x00001C23,08020801
0x00001C28,08050004
0x00001C5D,08030004
0x000042BB,081e0c00
0x00005215,08100607
0x0000527A,08090401
0x0000529B,08060401
0x00005316,08090401
0x0000533B,08060401
0x000053B6,08090401
0x000053DB,08070401
0x00005402,08070401
0x000057FC,08005814
0x00005804,0800583c
0x0000580C,080059e9
0x00005814,080058fc
0x0000581C,0800582c
0x00005824,080059e9
0x0000582C,080059e9
0x00005834,08005a33
0x0000583C,08005d24
0x00005844,08005997
0x0000584C,08005a33
0x00005854,0800586c
0x0000585C,08005894
0x00005864,08005b04
0x0000586C,08005a89
0x00005874,08005884
0x0000587C,08005b2d
0x00005884,08005b2d
0x0000588C,08005b60
0x00005894,08005d24
0x0000589C,08005b04
0x000058A4,08005b60
0x000058AC,080058c4
0x000058B4,080058ec
0x000058BC,08005b93
0x000058C4,08005b93
0x000058CC,080058dc
0x000058D4,08005cb6
0x000058DC,08005be9
0x000058E4,08005c95
0x000058EC,08005d04
0x000058F4,08005cdb
0x000058FC,08005c3d
0x00005902,08020302
0x00005928,08007681
0x00005969,08020201
0x0000599C,08020100
0x000059EE,08020200
0x00005A38,08020300
0x00005A8F,08020202
0x00005AB3,08007681
0x00005B09,08020100
0x00005B32,08020200
0x00005B65,08020300
0x00005B99,08000201
0x00005BBD,08007681
0x00005BEF,08000300
0x00005C0F,08007681
0x00005C67,08007681
0x00005C9A,08010300
0x00005CE0,08010100
0x00005D80,08005d98
0x00005D88,08005dc0
0x00005D90,08005f73
0x00005D98,08005ed8
0x00005DA0,08005db0
0x00005DA8,08005fc5
0x00005DB0,08005fc5
0x00005DB8,0800600f
0x00005DC0,080062df
0x00005DC8,08005f73
0x00005DD0,0800600f
0x00005DD8,08005df0
0x00005DE0,08005e18
0x00005DE8,080060d3
0x00005DF0,08006065
0x00005DF5,08020000
0x00005DF8,08005e08
0x00005E00,080060fc
0x00005E08,080060fc
0x00005E10,0800612f
0x00005E18,080062df
0x00005E20,080060d3
0x00005E28,0800612f
0x00005E30,08005e48
0x00005E38,08005e70
0x00005E40,08006162
0x00005E48,08006162
0x00005E50,08005e60
0x00005E58,0800618b
0x00005E60,0800618b
0x00005E68,080061b0
0x00005E70,080062bf
0x00005E78,08006162
0x00005E80,080061b0
0x00005E88,08005ea0
0x00005E90,08005ec8
0x00005E98,080061d1
0x00005EA0,080061d1
0x00005EA8,08005eb8
0x00005EB0,0800621f
0x00005EB8,0800621f
0x00005EC0,08006277
0x00005EC8,08006332
0x00005ED0,080061d1
0x00005ED8,08006277
0x00005EDE,08020302
0x00005F04,08007681
0x00005F45,08020201
0x00005F78,08020100
0x00005FCA,08020200
0x00006014,08020300
0x0000606B,08020302
0x00006099,08007681
0x000060AF,08020100
0x000060D8,08020100
0x00006101,08020200
0x00006134,08020300
0x00006167,08010100
0x000061B5,08010300
0x000061D6,08010100
0x0000627C,08010300
0x0000636B,08006383
0x00006373,080063ab
0x0000637B,0800655e
0x00006383,080064c3
0x0000638B,0800639b
0x00006393,080065b0
0x0000639B,080065b0
0x000063A3,080065fa
0x000063AB,08006918
0x000063B3,0800655e
0x000063BB,080065fa
0x000063C3,080063db
0x000063CB,08006403
0x000063D3,080066be
0x000063DB,08006650
0x000063E3,080063f3
0x000063EB,080066e7
0x000063F3,080066e7
0x000063FB,0800671a
0x00006403,08006918
0x0000640B,080066be
0x00006413,0800671a
0x0000641B,08006433
0x00006423,0800645b
0x0000642B,0800674d
0x00006433,0800674d
0x0000643B,0800644b
0x00006443,0800678d
0x0000644B,0800678d
0x00006453,080067c6
0x0000645B,080068f0
0x00006463,0800674d
0x0000646B,080067c6
0x00006473,0800648b
0x0000647B,080064b3
0x00006483,08006802
0x0000648B,08006802
0x00006493,080064a3
0x0000649B,08006850
0x000064A3,08006850
0x000064AB,080068a8
0x000064B3,0800696b
0x000064BB,08006802
0x000064C3,080068a8
0x000064C9,08020302
0x000064EF,08007681
0x00006530,08020201
0x00006563,08020100
0x000065B5,08020200
0x000065FF,08020300
0x00006656,08020302
0x00006684,08007681
0x0000669A,08020100
0x000066C3,08020100
0x000066EC,08020200
0x0000671F,08020300
0x00006752,08010100
0x000067CB,08010300
